title,company,location,type,url
Account Manager (m/w/d),No Isolation,Munich,Full-time,https://thehub.io/jobs/67e34400c73d022fd2ca0583
Travel Account Executive - UKI,Pleo Technologies,London,Full-time,https://thehub.io/jobs/67e5ea1ec73d022fd2de2575
Team Lead - ML Optimisation team,Synthesia,London,Full-time,https://thehub.io/jobs/67a3ff1c2567ad7fc631d940
Product Marketing Manager,Attensi,London,Full-time,https://thehub.io/jobs/67e7388bc73d022fd2e7f715
Staff Quality Engineer,Pleo Technologies,Lisbon,Full-time,https://thehub.io/jobs/67e4989ec73d022fd2d42d56
Product Analyst,Too Good To Go,Paris,Full-time,https://thehub.io/jobs/67de0166c73d022fd2a25393
Video Editor & Post-Production Operator,Synthesia,London,Full-time,https://thehub.io/jobs/67ca3a99f3dc89092b9a39ed
Junior Partnership Specialist (Swedish-Speaking),Venuu,Barcelona,Full-time,https://thehub.io/jobs/67dd4e9ba61b0d2fb71ea3be
Post-Production Operator (mid-level),Synthesia,London,Full-time,https://thehub.io/jobs/67c1001868babbd99e41fde3
Country Manager Benelux,Mover,Amsterdam,Full-time,https://thehub.io/jobs/67e343bec73d022fd2c9df4b
Partner Marketing Intern,Too Good To Go,Madrid,Internship,https://thehub.io/jobs/67e3475dc73d022fd2ca4538
Brand Communications Designer,Synthesia,London,Full-time,https://thehub.io/jobs/67d3751ca09474de7c500a9f
Sales & Partnerships Specialist (Swedish-Speaking),Venuu,Barcelona,Full-time,https://thehub.io/jobs/67dd4df0a61b0d2fb71e8c1e
Full Stack Data Analyst - Critical Data Products,Pleo Technologies,Lisbon,Full-time,https://thehub.io/jobs/67d8bb1ea09474de7c77754e
B2B Sales & Partnership Specialist (Spanish-Speaking),Venuu,Barcelona,Full-time,https://thehub.io/jobs/67dd4d6ca61b0d2fb71e7379
Key Account Manager,Lenus,Hamburg,Full-time,https://thehub.io/jobs/67de010cc73d022fd2a237cc
Fleet Specialist Mechaniker / Mechanic - m/f/d,Voi Technology,Bochum,Full-time,https://thehub.io/jobs/67e49598c73d022fd2d40220
Head of Key Accounts Österreich und Schweiz (w/m/d),Too Good To Go,Zürich,Full-time,https://thehub.io/jobs/67e5ea66c73d022fd2de32a3
Video Production Intern (NL),Tonsser,Amsterdam,Full-time,https://thehub.io/jobs/668663ef89cf7043a1f036a8
Fahrer / Driver (m/f/d),Voi Technology,Zürich,Full-time,https://thehub.io/jobs/67e5e726c73d022fd2ddfc66
Customer Support Specialist - 20-30 hours pr. week - German native speaker,Ageras A/S,Berlin,Part-time,https://thehub.io/jobs/67cb8ae5f3dc89092ba41f5b
Solution Architect,Centra,Wrocław,Full-time,https://thehub.io/jobs/67dcaca2c73d022fd29821f3
Sales Specialist (Dutch Speaking),Too Good To Go,Amsterdam,Full-time,https://thehub.io/jobs/67e5ea66c73d022fd2de32a1
"Senior Manager, Revenue Planning & Analysis",Synthesia,London,Full-time,https://thehub.io/jobs/678c441a3ea3231e2bde792a
Fleet Specialist (E-Cargo Bike/Lastenfahrrad rider) - m/f/d,Voi Technology,Lübeck,Full-time,https://thehub.io/jobs/67e4958cc73d022fd2d40101
Marketing intern (NL),Tonsser,Amsterdam,Internship,https://thehub.io/jobs/66a43f8aae3aeaeba2662552
"Fleet Specialist, London",Voi Technology,London,Full-time,https://thehub.io/jobs/67e343c3c73d022fd2c9e830
SEO Lead,Synthesia,London,Full-time,https://thehub.io/jobs/67b5229925aca324d57c6ee1
Fleet Specialist - Driver - Teilzeit (50%) / Werkstudent - m/f/d,Voi Technology,Nuremberg,Student,https://thehub.io/jobs/67dcaca2c73d022fd29821e5
Fleet Specialist - Hybrid Driver/Mechanic (m/f/d),Voi Technology,Bochum,Full-time,https://thehub.io/jobs/67dcacbfc73d022fd29825fe
People & Culture Manager - Poland & Czechia,Too Good To Go,Warsaw,Full-time,https://thehub.io/jobs/67de0166c73d022fd2a25399
Partner Enablement Specialist,Pleo Technologies,London,Full-time,https://thehub.io/jobs/678ee71d3ea3231e2bf249de
Sales Specialist Spain,Nofence,Vitoria-Gasteiz,Full-time,https://thehub.io/jobs/67e7381cc73d022fd2e79bcc
Partnerships & Alliances Manager - Spanish Speaking (Madrid),Formalize,Madrid,Full-time,https://thehub.io/jobs/67e49598c73d022fd2d4022d
Senior Applied NLP Research Engineer,Synthesia,London,Full-time,https://thehub.io/jobs/67636598b5df42e35e163d10
Customer Success Manager - German Speaking,Synthesia,London,Full-time,https://thehub.io/jobs/678066993ea3231e2b861027
Head of Demand Generation - London,Normative,London,Full-time,https://thehub.io/jobs/67c24eaa68babbd99e4bb68d
Site Reliability Engineer,Pleo Technologies,Lisbon,Full-time,https://thehub.io/jobs/67de0121c73d022fd2a24654
Key Partner Growth Intern - Paris,Too Good To Go,Paris,Internship,https://thehub.io/jobs/67bfaee132060d861410d78a
Sr. Research Engineer - Post-Training team,Synthesia,London,Full-time,https://thehub.io/jobs/67a55098d155368987b90317
Strategic Account Executive (German Speaking),Synthesia,London,Full-time,https://thehub.io/jobs/6691c71310b4f7f214b75712
Sr. Research Engineer - Avatar Pre-Training,Synthesia,London,Full-time,https://thehub.io/jobs/67a15c162567ad7fc61ddf21
Sales Trainee - German Speaking,Too Good To Go,Zürich,Full-time,https://thehub.io/jobs/673d2a483d49654a44d0ea74
Franchise Area Specialist,Too Good To Go,Rouen,Full-time,https://thehub.io/jobs/67e1f5e4c73d022fd2c03e80
Fleet Specialist - Driver - m/f/d,Voi Technology,Nuremberg,Full-time,https://thehub.io/jobs/67be5a0a25aca324d5c175c3
Sales Specialist,Too Good To Go,Barcelona,Full-time,https://thehub.io/jobs/67e3475dc73d022fd2ca4536
Inside Sales Specialist - Telesales (w/m/d),Too Good To Go,Berlin,Full-time,https://thehub.io/jobs/672d58482b0430c71e3b4530
Lead Backend Engineer (PHP),Supermetrics,Dublin,Full-time,https://thehub.io/jobs/67b3d11225aca324d57263e7
Customer Success Manager (m/w/d),No Isolation,Munich,Full-time,https://thehub.io/jobs/67e34400c73d022fd2ca05a1
SEO Lead,Synthesia,Dublin,Full-time,https://thehub.io/jobs/67b6741c25aca324d5866230
Fleet Specialist Team Lead (m/f/d),Voi Technology,Nuremberg,Full-time,https://thehub.io/jobs/67d22065a09474de7c45e050
Shift Supervisor - Driver (m/f/d),Voi Technology,Stuttgart,Full-time,https://thehub.io/jobs/67bfab5f32060d86141095bf
Sales Development Representative - German Speaking (Netherlands),Kindly,Amsterdam,Full-time,https://thehub.io/jobs/67d4c3a4a09474de7c59d1d3
Business Development Director,Attensi,London,Full-time,https://thehub.io/jobs/67d4c374a09474de7c59cccc
Senior AI/ML Product Manager,Supermetrics,Dublin,Full-time,https://thehub.io/jobs/67edd313c73d022fd21a14d0
Field Marketing Manager - Spanish Speaking (Madrid),Formalize,Madrid,Full-time,https://thehub.io/jobs/67d4c3bda09474de7c59d54e
Sales Operations Director,Synthesia,London,Full-time,https://thehub.io/jobs/678af2983ea3231e2bd4c95c
Partnerships Manager DACH,Nosto,Salzburg,Full-time,https://thehub.io/jobs/67e343cec73d022fd2c9f04a
Customer Experience Intern (FR),Tonsser,Paris,Internship,https://thehub.io/jobs/65d4d2ced8919662fdbc4d9e
Fleet Specialist - Mechaniker/Mechanic,Voi Technology,Nuremberg,Full-time,https://thehub.io/jobs/67c79452f3dc89092b85f775
PHP Developer,Centra,Wrocław,Full-time,https://thehub.io/jobs/67e7381cc73d022fd2e79bce
"Fleet Specialist, Hybrid - Fulltime/Vollzeit",Voi Technology,Hanover,Full-time,https://thehub.io/jobs/67dcacb1c73d022fd2982407
Sales Development Representative,giosg,Barcelona,Full-time,https://thehub.io/jobs/67abe4e225aca324d536a43e
Vertriebsmitarbeiter im Innendienst - Telesales (w/m/d),Too Good To Go,Berlin,Full-time,https://thehub.io/jobs/679038df1f3c49745560838d
Field Marketing Manager DACH,Synthesia,Munich,Full-time,https://thehub.io/jobs/6712fa14f448c37b8ed36e4c
Franchise Area Specialist,Too Good To Go,Lille,Full-time,https://thehub.io/jobs/67ca3adcf3dc89092b9a483e
Customer Experience Intern (NL),Tonsser,Amsterdam,Internship,https://thehub.io/jobs/65ceac883ededd6f04017cf4
Field Marketing Manager DACH,Synthesia,London,Full-time,https://thehub.io/jobs/6711a892f448c37b8ec9d7bb
Fleet Specialist - Hybrid,Voi Technology,Berlin,Full-time,https://thehub.io/jobs/67e343dcc73d022fd2c9f7d5
Sales Specialist,Too Good To Go,Basel,Full-time,https://thehub.io/jobs/673fcd498dc813ec9530e76b
Solution Engineer,Relesys,London,Full-time,https://thehub.io/jobs/67e73824c73d022fd2e7a819
Staff Engineer,Pleo Technologies,Lisbon,Full-time,https://thehub.io/jobs/676f431b3982c76f2beb88f2
Account Executive Nordics,Supermetrics,Dublin,Full-time,https://thehub.io/jobs/67dcaf93c73d022fd29843f1
Sales Trainee (m/w/d) - Flexible Start 2025,Too Good To Go,Vienna,Full-time,https://thehub.io/jobs/6764b75c3982c76f2b9cc486
Commercial Tools Trainer,Too Good To Go,London,Full-time,https://thehub.io/jobs/67d4c6e7a09474de7c5a15e3
Site Manager / Standortleiter (m/w/d),Voi Technology,Bochum,Full-time,https://thehub.io/jobs/67e738d8c73d022fd2e80369
🇪🇸 Customer Success Manager - Spanish speaking (Madrid),Formalize,Madrid,Full-time,https://thehub.io/jobs/67d0ced8a09474de7c3bebce
Head of New Business Development (Advertising),Voi Technology,Berlin,Full-time,https://thehub.io/jobs/67e738b7c73d022fd2e7fe50
Account Executive UKI,Supermetrics,Dublin,Full-time,https://thehub.io/jobs/67d4c692a09474de7c59f2cf
Logistics Specialist,Too Good To Go,Warsaw,Full-time,https://thehub.io/jobs/67c1006568babbd99e420dbb
Senior Sales Executive - Brno,Too Good To Go,Brno,Full-time,https://thehub.io/jobs/673d2a393d49654a44d0e30c
Senior Channel Partner Manager - UK,Pleo Technologies,London,Full-time,https://thehub.io/jobs/67cf809ea09474de7c3221fa
Fleet Specialist - Hybrid Driver/Mechanic (m/f/d),Voi Technology,Lübeck,Full-time,https://thehub.io/jobs/67e738a4c73d022fd2e7fbb3
Senior Channel Partner Manager - UK,Pleo Technologies,London,Full-time,https://thehub.io/jobs/67cf809ea09474de7c3221fa
Senior Data Engineer - Critical Data Products,Pleo Technologies,Amsterdam,Full-time,https://thehub.io/jobs/67d8bb1ea09474de7c77753c
Senior Android Engineer,Too Good To Go,Paris,Full-time,https://thehub.io/jobs/67e73be2c73d022fd2e832cc
Senior Compliance Content Specialist (Italy),Formalize,Milan,Full-time,https://thehub.io/jobs/678ee3b33ea3231e2bf1dc93
Senior Embedded Linux Engineer,reMarkable,London,Full-time,https://thehub.io/jobs/679035c51f3c4974556054a5
Global Sales Development Manager,Monta,Barcelona,Full-time,https://thehub.io/jobs/67c79437f3dc89092b85dea7
Account Executive French Speaking,Supermetrics,Dublin,Full-time,https://thehub.io/jobs/67a55090d155368987b8fe02
M3 Administrator & Architect,Too Good To Go,Madrid,Full-time,https://thehub.io/jobs/67da0cdfc73d022fd2845b56
Site Manager / Standortleiter (m/w/d),Voi Technology,Kiel,Full-time,https://thehub.io/jobs/67e738aec73d022fd2e7fce5
Senior Data Engineer,Pleo Technologies,Lisbon,Full-time,https://thehub.io/jobs/67be5d1b25aca324d5c1a5d0
Driver and Mechanic // Mechaniker und Fahrer - m/f/d,Voi Technology,Hamburg,Full-time,https://thehub.io/jobs/66469eda9054c17bdebb66fb
Fleet Specialist - Hybrid,Voi Technology,Monheim am Rhein,Full-time,https://thehub.io/jobs/676605773982c76f2ba6648f
Sales Specialist,Too Good To Go,Lausanne,Full-time,https://thehub.io/jobs/673d2a483d49654a44d0ea28
Customer Success Manager - UKI (Temp contract),Pleo Technologies,Lisbon,Full-time,https://thehub.io/jobs/67b3d11d25aca324d5726a06
Channel Partner Manager - DACH,Pleo Technologies,Berlin,Full-time,https://thehub.io/jobs/6747b6169645172ef2f89ca6
Sales Specialist (Dutch Speaking),Too Good To Go,Amsterdam,Full-time,https://thehub.io/jobs/67e73be2c73d022fd2e8330a
Channel Partner Manager - DACH,Pleo Technologies,Berlin,Full-time,https://thehub.io/jobs/6747b6169645172ef2f89ca6
Customer Support Specialist - German Speaking - Night Shift,Monta,Barcelona,Full-time,https://thehub.io/jobs/67ae884f25aca324d54ab577
SMB Account Executive - Nordics,Pleo Technologies,Lisbon,Full-time,https://thehub.io/jobs/67da0c9bc73d022fd2844ee2
M3 Administrator & Architect,Too Good To Go,London,Full-time,https://thehub.io/jobs/67db5e62c73d022fd28e54a4
Staff Engineer (Accounting),Pleo Technologies,Lisbon,Full-time,https://thehub.io/jobs/6798219c4b50cc4a95c9e6b8
Customer Support Specialist – German speaker,Pleo Technologies,Lisbon,Full-time,https://thehub.io/jobs/67d4c69ea09474de7c59fff8
M3 Administrator & Architect,Too Good To Go,Berlin,Full-time,https://thehub.io/jobs/67d8bb62a09474de7c778447
Head of Sales - Key Accounts Poland,Too Good To Go,Warsaw,Full-time,https://thehub.io/jobs/67be5d5d25aca324d5c1b239
Fahrer / Driver - m/f/d,Voi Technology,Vienna,Full-time,https://thehub.io/jobs/67bfabad32060d861410a0c2
Customer Support Specialist- German Speaking - Day Shift,Monta,Barcelona,Full-time,https://thehub.io/jobs/67ae882325aca324d54aadda
Fleet Specialist (Maintenance trottinettes - en rue et en entrepôt),Voi Technology,Coignières,Full-time,https://thehub.io/jobs/67d4c3a5a09474de7c59d20a
Customer Support Specialist - French Speaking - Day Shift,Monta,Barcelona,Full-time,https://thehub.io/jobs/67ae884f25aca324d54ab596
Sales Specialist,Too Good To Go,Bern,Full-time,https://thehub.io/jobs/673d2a483d49654a44d0ea66
Mid-Market Account Executive - DACH,Pleo Technologies,Berlin,Full-time,https://thehub.io/jobs/67b7c59c25aca324d59040ca
